127.0.0.1 - - [19/Jan/2022:09:21:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:09 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:09 +0900] "GET /Day4/js/view.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:17 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:18 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:24 +0900] "POST /Day4/login_ok.jsp HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:28 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:30 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:30 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:21:31 +0900] "GET /Day4/board/view.jsp?b_idx=2 HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:40:13 +0900] "GET /Day4/board/view.jsp?b_idx=1 HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:14 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:16 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:18 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:20 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:20 +0900] "GET /Day4/board/view.jsp?b_idx=5 HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:21 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:22 +0900] "GET /Day4/board/view.jsp?b_idx=5 HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:23 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:24 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:25 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:25 +0900] "GET /Day4/board/view.jsp?b_idx=5 HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [19/Jan/2022:09:48:26 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:02:08 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:02:11 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:02:12 +0900] "GET /Day4/board/view.jsp?b_idx=2 HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:03:05 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:03:09 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:03:09 +0900] "GET /Day4/board/view.jsp?b_idx=1 HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:05:42 +0900] "GET /Day4/board/view.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:05:44 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:05:44 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:05:46 +0900] "GET /Day4/board/like_ok.jsp?b_idx=4 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:11 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:12 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:12 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:12 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:13 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:15 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:19 +0900] "GET /Day4/board/view.jsp?b_idx=4 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
